ICOM1;ICOM2;ICOM3;Total ICOM;IACC1;IACC2;IACC3;IACC4;Total IACC;ICUR1;ICUR2;ICUR3;Total ICUR;ST1;ST2;ST3;ST4;Total ST;SA1;SA2;SA3;Total SA;BC1;BC2;BC3;Total BC;COIN1;COIN2;COIN3;COIN4;Total COIN;PESU1;PESU2;PESU3;PESU4;Total PESU;PUCH1;PUCH2;PUCH3;Total PUCH;RESP1;RESP2;RESP3;Total RESP;MIND1;MIND2;MIND3;MIND4;MIND5;MIND6;Total MIND;SE1;SE2;SE3;SE4;SE5;Total SE
6;6;7;19;5;7;7;7;26;6;6;6;18;7;7;5;5;24;7;7;6;20;6;7;6;19;6;6;5;7;24;7;7;6;7;27;7;6;6;19;7;6;6;19;7;6;6;5;6;5;35;6;5;5;5;4;25
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;6;7;7;20;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;6;6;26;7;7;7;21;7;7;6;20;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;6;5;6;7;7;31
6;6;6;18;4;6;6;6;22;6;6;4;16;6;6;6;5;23;5;5;5;15;4;3;3;10;6;6;6;5;23;6;6;6;6;24;6;4;5;15;5;6;5;16;6;6;6;6;6;6;36;6;5;6;6;6;29
7;7;7;21;7;7;7;7;28;7;7;6;20;7;7;7;6;27;6;6;5;17;5;5;6;16;5;6;6;6;23;6;5;6;5;22;7;6;4;17;5;5;6;16;7;6;6;6;5;6;36;6;6;7;6;6;31
1;1;1;3;1;1;1;1;4;2;2;2;6;3;3;3;3;12;7;7;7;21;4;4;4;12;7;7;7;7;28;7;7;7;7;28;6;6;6;18;7;7;7;21;7;7;7;7;7;7;42;3;3;3;3;3;15
7;7;7;21;1;7;6;7;21;7;7;7;21;3;7;7;7;24;7;7;7;21;1;1;1;3;7;7;7;7;28;7;7;7;7;28;7;7;7;21;1;7;7;15;7;7;7;7;7;7;42;7;7;7;7;7;35
5;6;5;16;4;6;5;5;20;6;6;5;17;6;7;5;6;24;4;5;5;14;6;6;5;17;5;4;4;5;18;5;6;5;6;22;7;7;5;19;4;5;4;13;5;5;6;6;5;7;34;5;4;6;4;5;24
6;4;7;17;6;4;3;6;19;6;5;4;15;6;6;5;4;21;6;5;6;17;6;7;6;19;6;5;4;7;22;7;6;5;6;24;6;6;5;17;6;7;6;19;6;6;6;7;6;7;38;6;7;7;4;6;30
7;6;1;14;1;6;1;1;9;7;7;7;21;6;7;2;2;17;1;7;4;12;1;1;1;3;7;7;7;7;28;1;7;6;7;21;7;7;7;21;7;7;7;21;7;7;7;7;1;7;36;1;1;7;1;1;11
7;7;7;21;5;7;7;7;26;7;7;7;21;7;7;7;7;28;7;7;7;21;7;1;7;15;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;1;1;7;1;7;17
7;7;6;20;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;6;20;6;7;7;7;27;7;7;7;7;28;7;7;6;20;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
6;6;6;18;7;7;6;6;26;7;7;7;21;7;7;6;6;26;6;6;6;18;5;5;5;15;7;7;7;7;28;6;7;6;7;26;7;6;5;18;7;7;7;21;7;7;7;7;7;7;42;5;5;5;5;6;26
7;7;7;21;6;7;7;7;27;7;7;7;21;7;7;7;7;28;7;7;7;21;4;4;2;10;6;6;7;7;26;7;7;7;7;28;6;4;2;12;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
3;3;5;11;2;5;6;6;19;5;6;5;16;7;5;5;5;22;1;3;5;9;2;4;6;12;1;3;5;7;16;2;4;6;1;13;3;5;7;15;2;4;6;12;1;3;5;7;2;4;22;2;4;5;3;1;15
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
7;7;7;21;3;7;5;6;21;5;7;5;17;7;7;5;6;25;7;6;7;20;5;5;3;13;6;6;7;6;25;7;7;6;7;27;7;7;5;19;5;7;5;17;7;7;7;7;7;7;42;7;7;7;7;7;35
